t_s,backlog_pkts,backlog_bytes,target_ms,limit_pkts,quantum_bytes,drop_rate,throughput_mbps,sojourn_ms
349.5,18,27252,5.0,993,1514,204.1,4.992,40.38
350.5,10,15140,5.0,993,1514,197.2,5.007,22.37
351.5,20,30280,5.0,993,1514,191.4,4.998,44.82
352.5,22,33308,5.0,993,1514,199.3,4.996,49.32
353.5,11,16654,5.0,993,1514,212.1,5.006,24.61
354.5,14,21196,5.0,993,1514,197.1,4.991,31.42
355.5,11,16654,5.0,993,1514,199.3,5.008,24.6
356.5,14,21196,5.0,993,1514,202.3,4.997,31.38
357.5,15,22710,5.0,993,1514,191.4,4.998,33.61
358.5,20,30280,5.0,993,1514,190.3,4.997,44.83
359.5,12,18168,5.0,993,1514,214.0,5.004,26.86
360.5,15,22710,5.0,993,1514,193.3,4.998,33.61
361.5,20,30280,5.0,993,1514,196.0,5.002,44.78
362.6,20,30280,5.0,993,1514,203.9,4.999,44.81
363.6,14,21196,5.0,993,1514,197.1,5.005,31.33
364.6,13,19682,5.0,993,1514,196.3,4.997,29.14
365.6,13,19682,5.0,993,1514,198.3,4.997,29.14
366.6,19,28766,5.0,993,1514,195.3,5.008,42.49
367.6,11,16654,5.0,993,1514,201.3,4.998,24.65
368.6,16,24224,5.0,993,1514,186.3,4.996,35.87
369.6,20,30280,5.0,993,1514,190.4,4.999,44.81
370.6,14,21196,5.0,993,1514,171.4,4.998,31.37
371.6,17,25738,5.0,993,1514,186.4,5.009,38.01
372.6,10,15140,5.0,993,1514,193.4,4.999,22.4
373.6,13,19682,5.0,993,1514,180.3,4.996,29.14
374.6,0,0,5.0,993,1514,173.4,4.997,0.0
375.6,21,31794,5.0,993,1514,206.3,4.998,47.06
376.6,16,24224,5.0,993,1514,171.3,5.005,35.8
377.6,16,24224,5.0,993,1514,181.2,5.004,35.81
378.6,20,30280,5.0,993,1514,184.4,4.998,44.82
379.6,12,18168,5.0,993,1514,192.2,4.993,26.92
380.6,15,22710,5.0,993,1514,187.3,5.008,33.55
381.6,18,27252,5.0,993,1514,201.3,4.997,40.34
382.6,15,22710,5.0,993,1514,193.3,4.996,33.63
383.6,10,15140,5.0,993,1514,204.3,4.997,22.41
384.6,18,27252,5.0,993,1514,198.1,5.004,40.29
385.6,17,25738,5.0,993,1514,181.3,4.995,38.12
386.6,14,21196,5.0,993,1514,192.3,5.007,31.32
387.6,14,21196,5.0,993,1514,187.4,4.997,31.38
388.6,20,30280,5.0,993,1514,177.4,4.999,44.81
389.7,17,25738,5.0,993,1514,202.3,4.998,38.1
390.7,17,25738,5.0,993,1514,209.3,4.998,38.1
391.7,17,25738,5.0,993,1514,204.4,4.999,38.09
392.7,16,24224,5.0,993,1514,196.4,4.999,35.85
393.7,19,28766,5.0,993,1514,199.3,4.998,42.58
394.7,13,19682,5.0,993,1514,194.2,5.007,29.08
395.7,17,25738,5.0,993,1514,196.2,4.995,38.12
396.7,21,31794,5.0,993,1514,199.0,5.002,47.02
397.7,12,18168,5.0,993,1514,210.8,4.998,26.89
398.7,16,24224,5.0,993,1514,203.1,5.003,35.82
399.7,13,19682,5.0,993,1514,198.1,5.004,29.1
400.7,13,19682,5.0,993,1514,178.3,4.996,29.14
401.7,22,33308,5.0,993,1514,188.3,4.995,49.33
402.7,12,18168,5.0,993,1514,201.1,5.005,26.85
403.7,17,25738,5.0,993,1514,190.2,4.995,38.12
404.7,19,28766,5.0,993,1514,198.2,5.006,42.51
