[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns1/veth1...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=9
[eBPF] Layer 3: ✅ global_map id=10

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260401_112753.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
   48.8       HEAVY       STABLE       HEAVY   39775.8    391       0      0    0.00ms      MICE    1.9ms    394     9
   49.3       HEAVY       STABLE       HEAVY   18312.1    372       0      0    0.00ms      MICE    1.9ms    394     9
   49.8       HEAVY       STABLE       HEAVY   21491.0    361       0      0    0.00ms      MICE    1.9ms    394     9
   50.3       HEAVY       STABLE       HEAVY   25928.7    387       0      0    0.00ms      MICE    1.9ms    394     9
   50.8       HEAVY       STABLE       HEAVY   23706.8    381       0      0    0.00ms      MICE    1.7ms    354    10
   51.3       HEAVY       STABLE       HEAVY   65690.3    344       0      0    0.00ms      MICE    1.7ms    354    10
   51.8       HEAVY       STABLE       HEAVY   56334.4    345       0      0    0.00ms      MICE    1.7ms    354    10
   52.3       HEAVY       STABLE       HEAVY   70392.0    349       0      0    0.00ms      MICE    1.7ms    354    10
   52.9       HEAVY       STABLE       HEAVY   64365.4    329       0      0    0.00ms      MICE    1.7ms    354    10
   53.4       HEAVY       STABLE       HEAVY   70419.9    351       0      0    0.00ms      MICE    1.7ms    354    10
   53.9       HEAVY       STABLE       HEAVY   61275.4    352       0      0    0.00ms      MICE    1.7ms    354    10
   54.4       HEAVY       STABLE       HEAVY   61764.2    353       0      0    0.00ms      MICE    1.7ms    354    10
   54.9       HEAVY       STABLE       HEAVY   49025.5    349       0      0    0.00ms      MICE    1.7ms    354    10
   55.4       HEAVY       STABLE       HEAVY   64691.1    323       0      0    0.00ms      MICE    1.7ms    354    10
   55.9       HEAVY   RECOVERING    MODERATE   52888.1    351       0      0    0.00ms      MICE    1.6ms    318    11
   56.4       HEAVY       STABLE       HEAVY   99227.6    293       0      0    0.00ms      MICE    1.6ms    318    11
   56.9       HEAVY       STABLE       HEAVY   91644.2    305       0      0    0.00ms      MICE    1.6ms    318    11
   57.4       HEAVY       STABLE       HEAVY   99919.4    311       0      0    0.00ms      MICE    1.6ms    318    11
   57.9       HEAVY       STABLE       HEAVY   99109.4    303       0      0    0.00ms      MICE    1.6ms    318    11
   58.5       HEAVY       STABLE       HEAVY   97360.7    294       0      0    0.00ms      MICE    1.6ms    318    11
   59.0       HEAVY       STABLE       HEAVY   94262.0    307       0      0    0.00ms      MICE    1.6ms    318    11
   59.5       HEAVY       STABLE       HEAVY  101309.8    313       0      0    0.00ms      MICE    1.6ms    318    11
   60.0       HEAVY       STABLE       HEAVY   99528.4    312       0      0    0.00ms      MICE    1.6ms    318    11
   60.5       HEAVY       STABLE       HEAVY  102856.9    317       0      0    0.00ms      MICE    1.6ms    318    11
   61.0       HEAVY       STABLE       HEAVY   95995.5    298       0      0    0.00ms      MICE    1.4ms    286    12
   61.5       HEAVY       STABLE       HEAVY  120807.0    279       0      0    0.00ms      MICE    1.4ms    286    12
   62.0       HEAVY       STABLE       HEAVY  121859.8    283       0      0    0.00ms      MICE    1.4ms    286    12
   62.6       HEAVY       STABLE       HEAVY  124338.0    286       0      0    0.00ms      MICE    1.4ms    286    12
   63.1       HEAVY       STABLE       HEAVY  120933.1    265       0      0    0.00ms      MICE    1.4ms    286    12
   63.6       HEAVY       STABLE       HEAVY  123331.8    265       0      0    0.00ms      MICE    1.4ms    286    12
   64.1       HEAVY       STABLE       HEAVY  125426.2    277       0      0    0.00ms      MICE    1.4ms    286    12
   64.6       HEAVY       STABLE       HEAVY  124606.0    271       0      0    0.00ms      MICE    1.4ms    286    12
   65.1       HEAVY       STABLE       HEAVY  124434.4    281       0      0    0.00ms      MICE    1.4ms    286    12
   65.6       HEAVY       STABLE       HEAVY  119469.6    279       0      0    0.00ms      MICE    1.4ms    286    12
   66.2       HEAVY       STABLE       HEAVY  124553.2    285       0      0    0.00ms      MICE    1.3ms    257    13
   66.7       HEAVY       STABLE       HEAVY  133214.8    235       0      0    0.00ms      MICE    1.3ms    257    13
   67.2       HEAVY       STABLE       HEAVY  128160.5    252       0      0    0.00ms      MICE    1.3ms    257    13
   67.7       HEAVY       STABLE       HEAVY  131194.7    257       0      0    0.00ms      MICE    1.3ms    257    13
   68.2       HEAVY       STABLE       HEAVY  128656.0    251       0      0    0.00ms      MICE    1.3ms    257    13
   68.7       HEAVY       STABLE       HEAVY  129595.0    246       0      0    0.00ms      MICE    1.3ms    257    13
   69.2       HEAVY       STABLE       HEAVY  136013.6    238       0      0    0.00ms      MICE    1.3ms    257    13
   69.7       HEAVY       STABLE       HEAVY  135036.9    256       0      0    0.00ms      MICE    1.3ms    257    13
   70.3       HEAVY       STABLE       HEAVY  131057.5    244       0      0    0.00ms      MICE    1.3ms    257    13
   70.8       HEAVY       STABLE       HEAVY  126543.4    245       0      0    0.00ms      MICE    1.3ms    257    13
   71.3       HEAVY   RECOVERING    MODERATE  126789.6    255       0      0    0.00ms      MICE    1.1ms    256    14
   71.8       HEAVY   RECOVERING    MODERATE  132035.0    242       0      0    0.00ms      MICE    1.1ms    256    14
   72.3       HEAVY       STABLE       HEAVY  133872.2    247       0      0    0.00ms      MICE    1.1ms    256    14
   72.8       HEAVY       STABLE       HEAVY  131411.8    231       0      0    0.00ms      MICE    1.1ms    256    14
   73.3       HEAVY       STABLE       HEAVY  134441.6    256       0      0    0.00ms      MICE    1.1ms    256    14
   73.8       HEAVY   RECOVERING    MODERATE  130672.1    242       0      0    0.00ms      MICE    1.1ms    256    14
   74.4       HEAVY       STABLE       HEAVY  138379.4    254       0      0    0.00ms      MICE    1.1ms    256    14
   74.9       HEAVY       STABLE       HEAVY  128941.3    240       0      0    0.00ms      MICE    1.1ms    256    14
   75.4       HEAVY       STABLE       HEAVY  126716.5    237       0      0    0.00ms      MICE    1.1ms    256    14
   75.9       HEAVY   RECOVERING    MODERATE  131185.3    244       0      0    0.00ms      MICE    1.1ms    256    14
   76.4       HEAVY   RECOVERING    MODERATE  133843.0    252       0      0    0.00ms      MICE    1.0ms    256    15
   76.9       HEAVY       STABLE       HEAVY  138290.5    238       0      0    0.00ms      MICE    1.0ms    256    15
   77.4       HEAVY       STABLE       HEAVY  134018.9    233       0      0    0.00ms      MICE    1.0ms    256    15
   78.0       HEAVY       STABLE       HEAVY  133160.5    250       0      0    0.00ms      MICE    1.0ms    256    15
   78.5       HEAVY       STABLE       HEAVY  135022.7    254       0      0    0.00ms      MICE    1.0ms    256    15
   79.0       HEAVY       STABLE       HEAVY  136475.4    253       0      0    0.00ms      MICE    1.0ms    256    15
   79.5       HEAVY       STABLE       HEAVY  132957.1    239       0      0    0.00ms      MICE    1.0ms    256    15
   80.0       HEAVY       STABLE       HEAVY  133225.0    238       0      0    0.00ms      MICE    1.0ms    256    15
   80.5       HEAVY   RECOVERING    MODERATE  132247.2    246       0      0    0.00ms      MICE    1.0ms    256    15
   81.1       HEAVY   RECOVERING    MODERATE  132498.1    237       0      0    0.00ms      MICE    1.0ms    256    15
   81.6       HEAVY   RECOVERING    MODERATE  128787.2    241       0      0    0.00ms      MICE    1.0ms    256    15
   82.1       HEAVY   RECOVERING    MODERATE  130270.4    237       0      0    0.00ms      MICE    1.0ms    256    15
   82.6       HEAVY   RECOVERING    MODERATE  131412.6    244       0      0    0.00ms      MICE    1.0ms    256    15
   83.1       HEAVY   RECOVERING    MODERATE  133422.9    245       0      0    0.00ms      MICE    1.0ms    256    15
   83.6       HEAVY   RECOVERING    MODERATE  136000.3    248       0      0    0.00ms      MICE    1.0ms    256    15
   84.1       HEAVY       STABLE       HEAVY  134508.2    239       0      0    0.00ms      MICE    1.0ms    256    15
   84.7       HEAVY       STABLE       HEAVY  132775.9    250       0      0    0.00ms      MICE    1.0ms    256    15
   85.2       HEAVY       STABLE       HEAVY  135129.5    242       0      0    0.00ms      MICE    1.0ms    256    15
   85.7       HEAVY       STABLE       HEAVY  133019.8    250       0      0    0.00ms      MICE    1.0ms    256    15
   86.2       HEAVY       STABLE       HEAVY  131571.5    247       0      0    0.00ms      MICE    1.0ms    256    15
