[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns_router/veth_rs...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=19
[eBPF] Layer 3: ✅ global_map id=20

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260403_082701.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
   79.7       HEAVY       STABLE       HEAVY     153.9     13       0      0    0.00ms      MICE    1.0ms    256    15
   80.2       HEAVY       STABLE       HEAVY     166.7     10       0      0    0.00ms      MICE    1.0ms    256    15
   80.7       HEAVY       STABLE       HEAVY     170.9     12       0      0    0.00ms      MICE    1.0ms    256    15
   81.2       HEAVY       STABLE       HEAVY     174.7     13       0      0    0.00ms      MICE    1.0ms    256    15
   81.7       HEAVY       STABLE       HEAVY     171.2     15       0      0    0.00ms      MICE    1.0ms    256    15
   82.3       HEAVY       STABLE       HEAVY     180.3     10       0      0    0.00ms      MICE    1.0ms    256    15
   82.8       HEAVY       STABLE       HEAVY     147.3     14       0      0    0.00ms      MICE    1.0ms    256    15
   83.3       HEAVY       STABLE       HEAVY     202.2      7       0      0    0.00ms      MICE    1.0ms    256    15
   83.8       HEAVY       STABLE       HEAVY     158.7     13       0      0    0.00ms      MICE    1.0ms    256    15
   84.3       HEAVY       STABLE       HEAVY     186.0     10       0      0    0.00ms      MICE    1.0ms    256    15
   84.8       HEAVY       STABLE       HEAVY     174.6     12       0      0    0.00ms      MICE    1.0ms    256    15
   85.3       HEAVY       STABLE       HEAVY     170.5     14       0      0    0.00ms      MICE    1.0ms    256    15
   85.9       HEAVY       STABLE       HEAVY     205.8     10       0      0    0.00ms      MICE    1.0ms    256    15
   86.4       HEAVY       STABLE       HEAVY     182.5     12       0      0    0.00ms      MICE    1.0ms    256    15
   86.9       HEAVY       STABLE       HEAVY     177.0      8       0      0    0.00ms      MICE    1.0ms    256    15
   87.4       HEAVY       STABLE       HEAVY     149.5     14       0      0    0.00ms      MICE    1.0ms    256    15
   87.9       HEAVY       STABLE       HEAVY     182.4     12       0      0    0.00ms      MICE    1.0ms    256    15
   88.4       HEAVY       STABLE       HEAVY     171.1     12       0      0    0.00ms      MICE    1.0ms    256    15
   89.0       HEAVY       STABLE       HEAVY     175.0     12       0      0    0.00ms      MICE    1.0ms    256    15
   89.5       HEAVY       STABLE       HEAVY     163.4      8       0      0    0.00ms      MICE    1.0ms    256    15
   90.0       HEAVY       STABLE       HEAVY     153.5     15       0      0    0.00ms      MICE    1.0ms    256    15
   90.5       HEAVY       STABLE       HEAVY     184.5     13       0      0    0.00ms      MICE    1.0ms    256    15
   91.0       HEAVY       STABLE       HEAVY     174.9     11       0      0    0.00ms      MICE    1.0ms    256    15
   91.5       HEAVY       STABLE       HEAVY     166.8     13       0      0    0.00ms      MICE    1.0ms    256    15
   92.0       HEAVY       STABLE       HEAVY     178.7     10       0      0    0.00ms      MICE    1.0ms    256    15
   92.6       HEAVY       STABLE       HEAVY     145.5     13       0      0    0.00ms      MICE    1.0ms    256    15
   93.1       HEAVY       STABLE       HEAVY     178.3     12       0      0    0.00ms      MICE    1.0ms    256    15
   93.6       HEAVY       STABLE       HEAVY     158.2     13       0      0    0.00ms      MICE    1.0ms    256    15
   94.1       HEAVY       STABLE       HEAVY     158.9     15       0      0    0.00ms      MICE    1.0ms    256    15
   94.6       HEAVY       STABLE       HEAVY     181.9     14       0      0    0.00ms      MICE    1.0ms    256    15
   95.1       HEAVY       STABLE       HEAVY     161.1     13       0      0    0.00ms      MICE    1.0ms    256    15
   95.6       HEAVY       STABLE       HEAVY     181.3     11       0      0    0.00ms      MICE    1.0ms    256    15
   96.2       HEAVY       STABLE       HEAVY     153.4     11       0      0    0.00ms      MICE    1.0ms    256    15
   96.7       HEAVY       STABLE       HEAVY     184.8     10       0      0    0.00ms      MICE    1.0ms    256    15
   97.2       HEAVY       STABLE       HEAVY     174.3     11       0      0    0.00ms      MICE    1.0ms    256    15
   97.7       HEAVY       STABLE       HEAVY     176.0     15       0      0    0.00ms      MICE    1.0ms    256    15
