[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns_router/veth_rs...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=37
[eBPF] Layer 3: ✅ global_map id=38

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260409_122449.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
   58.7       HEAVY       STABLE       HEAVY     193.6     10       0      0    0.00ms      MICE    1.7ms    354    10
   59.2       HEAVY       STABLE       HEAVY     161.2     11       0      0    0.00ms      MICE    1.7ms    354    10
   59.7       HEAVY       STABLE       HEAVY     175.5      9       0      0    0.00ms      MICE    1.7ms    354    10
   60.2       HEAVY       STABLE       HEAVY     150.8     14       0      0    0.00ms      MICE    1.7ms    354    10
   60.7       HEAVY       STABLE       HEAVY     210.1     10       0      0    0.00ms      MICE    1.7ms    354    10
   61.2       HEAVY       STABLE       HEAVY     184.9     11       0      0    0.00ms      MICE    1.6ms    318    11
   61.8       HEAVY       STABLE       HEAVY     171.4     12       0      0    0.00ms      MICE    1.6ms    318    11
   62.3       HEAVY       STABLE       HEAVY     188.2     10       0      0    0.00ms      MICE    1.6ms    318    11
   62.8       HEAVY       STABLE       HEAVY     202.1      7       0      0    0.00ms      MICE    1.6ms    318    11
   63.3       HEAVY       STABLE       HEAVY     198.1     13       0      0    0.00ms      MICE    1.6ms    318    11
   63.8       HEAVY       STABLE       HEAVY     161.5     12       0      0    0.00ms      MICE    1.6ms    318    11
   64.3       HEAVY       STABLE       HEAVY     167.3     12       0      0    0.00ms      MICE    1.6ms    318    11
   64.8       HEAVY       STABLE       HEAVY     173.3     11       0      0    0.00ms      MICE    1.6ms    318    11
   65.3       HEAVY       STABLE       HEAVY     183.1     13       0      0    0.00ms      MICE    1.6ms    318    11
   65.8       HEAVY       STABLE       HEAVY     179.2     10       0      0    0.00ms      MICE    1.6ms    318    11
