t_s,backlog_pkts,backlog_bytes,target_ms,limit_pkts,quantum_bytes,drop_rate,throughput_mbps,sojourn_ms
321.3,4,6056,15.0,1000,1514,164.2,5.002,8.96
322.3,4,6056,15.0,1000,1514,167.2,4.992,8.97
323.3,6,9084,15.0,1000,1514,168.5,5.011,13.41
324.3,8,12112,15.0,1000,1514,140.4,4.993,17.95
325.3,12,18168,15.0,1000,1514,165.1,4.998,26.89
326.3,10,15140,15.0,1000,1514,153.3,5.004,22.38
327.3,3,4542,15.0,1000,1514,160.4,4.996,6.73
328.3,4,6056,15.0,1000,1514,160.4,5.006,8.95
329.3,8,12112,15.0,1000,1514,158.3,4.993,17.95
330.3,6,9084,15.0,1000,1514,161.5,4.998,13.45
331.3,7,10598,15.0,1000,1514,154.5,5.011,15.65
332.3,10,15140,15.0,1000,1514,167.3,4.994,22.43
333.3,13,19682,15.0,1000,1514,179.2,5.003,29.1
334.3,6,9084,15.0,1000,1514,147.4,4.994,13.46
335.3,6,9084,15.0,1000,1514,164.3,5.007,13.42
336.3,12,18168,15.0,1000,1514,160.5,4.999,26.89
337.3,10,15140,15.0,1000,1514,164.1,4.999,22.4
338.3,5,7570,15.0,1000,1514,182.4,4.998,11.2
339.4,11,16654,15.0,1000,1514,171.4,4.996,24.66
340.4,6,9084,15.0,1000,1514,177.3,4.971,13.52
341.4,2,3028,15.0,1000,1514,169.4,5.009,4.47
342.4,5,7570,15.0,1000,1514,174.4,4.996,11.21
343.4,7,10598,15.0,1000,1514,158.2,5.002,15.67
344.4,5,7570,15.0,1000,1514,173.5,5.0,11.2
345.4,7,10598,15.0,1000,1514,160.4,4.995,15.7
346.4,8,12112,15.0,1000,1514,172.5,4.999,17.92
347.4,5,7570,15.0,1000,1514,186.2,5.005,11.19
348.4,3,4542,15.0,1000,1514,190.2,4.992,6.73
349.4,10,15140,15.0,1000,1514,162.5,5.01,22.36
350.4,9,13626,15.0,1000,1514,176.4,4.997,20.17
351.4,7,10598,15.0,1000,1514,172.4,4.998,15.69
352.4,7,10598,15.0,1000,1514,154.3,5.005,15.66
353.4,4,6056,15.0,1000,1514,161.3,4.993,8.97
354.4,12,18168,15.0,1000,1514,170.3,5.007,26.84
355.4,7,10598,15.0,1000,1514,178.2,4.992,15.71
356.4,4,6056,15.0,1000,1514,167.3,5.005,8.95
357.4,8,12112,15.0,1000,1514,165.4,4.996,17.93
358.4,4,6056,15.0,1000,1514,177.4,4.999,8.96
359.4,4,6056,15.0,1000,1514,154.2,5.0,8.96
360.4,9,13626,15.0,1000,1514,152.1,4.998,20.17
361.4,4,6056,15.0,1000,1514,173.2,5.002,8.96
362.4,7,10598,15.0,1000,1514,168.3,5.006,15.66
363.4,12,18168,15.0,1000,1514,153.4,4.994,26.91
364.5,8,12112,15.0,1000,1514,167.3,5.007,17.89
365.5,8,12112,15.0,1000,1514,154.5,4.997,17.93
366.5,10,15140,15.0,1000,1514,144.3,4.992,22.44
367.5,10,15140,15.0,1000,1514,146.5,5.009,22.36
368.5,8,12112,15.0,1000,1514,159.5,4.999,17.92
369.5,3,4542,15.0,1000,1514,174.4,4.998,6.72
370.5,7,10598,15.0,1000,1514,184.3,4.995,15.7
371.5,6,9084,15.0,1000,1514,181.3,5.007,13.42
372.5,7,10598,15.0,1000,1514,160.4,4.995,15.7
373.5,3,4542,15.0,1000,1514,161.4,5.008,6.71
374.5,7,10598,15.0,1000,1514,142.5,4.996,15.69
375.5,5,7570,15.0,1000,1514,154.4,4.996,11.21
376.5,9,13626,15.0,1000,1514,167.4,5.007,20.13
377.5,9,13626,15.0,1000,1514,158.4,4.994,20.18
378.5,8,12112,15.0,1000,1514,171.3,5.007,17.89
379.5,7,10598,15.0,1000,1514,168.3,4.994,15.7
380.5,5,7570,15.0,1000,1514,160.4,4.995,11.21
381.5,3,4542,15.0,1000,1514,186.4,5.011,6.71
382.5,8,12112,15.0,1000,1514,158.5,4.997,17.93
383.5,7,10598,15.0,1000,1514,152.4,4.995,15.7
384.5,8,12112,15.0,1000,1514,163.5,4.999,17.92
385.5,8,12112,15.0,1000,1514,152.5,5.009,17.89
386.5,11,16654,15.0,1000,1514,159.3,4.994,24.67
387.5,10,15140,15.0,1000,1514,165.3,4.995,22.42
388.5,11,16654,15.0,1000,1514,169.4,5.008,24.6
389.5,3,4542,15.0,1000,1514,177.2,4.992,6.73
390.5,6,9084,15.0,1000,1514,200.1,5.005,13.43
391.6,12,18168,15.0,1000,1514,158.4,4.996,26.9
392.6,14,21196,15.0,1000,1514,166.4,5.009,31.3
393.6,8,12112,15.0,1000,1514,187.4,4.999,17.92
394.6,5,7570,15.0,1000,1514,177.3,4.995,11.21
395.6,9,13626,15.0,1000,1514,163.4,4.995,20.18
396.6,5,7570,15.0,1000,1514,165.4,5.009,11.18
397.6,4,6056,15.0,1000,1514,169.3,4.995,8.97
398.6,3,4542,15.0,1000,1514,160.3,5.006,6.71
399.6,7,10598,15.0,1000,1514,156.3,4.991,15.71
400.6,11,16654,15.0,1000,1514,160.5,5.0,24.64
401.6,5,7570,15.0,1000,1514,178.4,5.008,11.18
402.6,9,13626,15.0,1000,1514,169.5,4.998,20.17
403.6,6,9084,15.0,1000,1514,166.5,4.999,13.44
404.6,6,9084,15.0,1000,1514,171.4,4.996,13.45
405.6,12,18168,15.0,1000,1514,168.4,4.998,26.89
406.6,4,6056,15.0,1000,1514,165.5,5.011,8.94
407.6,9,13626,15.0,1000,1514,177.4,4.997,20.17
408.6,12,18168,15.0,1000,1514,165.3,4.992,26.92
409.6,9,13626,15.0,1000,1514,165.4,5.008,20.13
410.6,6,9084,15.0,1000,1514,148.4,4.996,13.45
411.6,8,12112,15.0,1000,1514,174.3,5.007,17.89
412.6,9,13626,15.0,1000,1514,178.4,4.997,20.17
413.6,4,6056,15.0,1000,1514,172.5,4.999,8.96
