========================================================================
  Adaptive RED Controller  —  Floyd, Gummadi & Shenker (ICSI 2001)
  ns=ns_router  iface=veth_rs  duration=630s
  min_th=20  max_th=300  max_p=0.5
  W_Q=0.002  alpha=0.01  beta=0.9
========================================================================
  NOTE: Adaptive RED adapts max_p (drop prob) mapped to target/limit
  It does NOT use gradient prediction, eBPF, or workload profiles
========================================================================
  t(s)    avg_q       dr/s      bl    tput   max_p   target  limit   adj
 126.2      5.0      135.9      19    9.97   0.010    4.8ms    993     3
 126.7      5.0      147.0      12   10.03   0.010    4.8ms    993     3
 127.2      5.1      144.1      12    9.97   0.010    4.8ms    993     3
 127.7      5.1      142.8      18    9.99   0.010    4.8ms    993     3
 128.2      5.1      145.9      12   10.01   0.010    4.8ms    993     3
 128.7      5.1      157.7      12   10.00   0.010    4.8ms    993     3
 129.3      5.1      139.1      13   10.01   0.010    4.8ms    993     3
 129.8      5.1      126.4      14    9.98   0.010    4.8ms    993     3
 130.3      5.2      154.6      12   10.01   0.010    4.8ms    993     3
 130.8      5.2      156.9      13   10.01   0.010    4.8ms    993     3
 131.3      5.2      146.9      15   10.00   0.010    4.8ms    993     3
 131.8      5.2      139.1      15   10.01   0.010    4.8ms    993     3
 132.3      5.2      148.3      11    9.98   0.010    4.8ms    993     3
 132.8      5.2      151.8      12   10.00   0.010    4.8ms    993     3
 133.3      5.2      163.0       9    9.99   0.010    4.8ms    993     3
 133.8      5.3      130.1      17   10.00   0.010    4.8ms    993     3
 134.3      5.3      159.5      10    9.99   0.010    4.8ms    993     3
 134.8      5.3      128.0      11   10.00   0.010    4.8ms    993     3
 135.3      5.3      178.7       9   10.01   0.010    4.8ms    993     3
 135.8      5.3      138.3      12    9.98   0.010    4.8ms    993     3
 136.3      5.3      136.3      15   10.02   0.010    4.8ms    993     3
 136.8      5.3      139.9      16    9.97   0.010    4.8ms    993     3
 137.3      5.4      163.0      15   10.04   0.010    4.8ms    993     3
 137.8      5.4      151.0      16   10.01   0.010    4.8ms    993     3
 138.3      5.4      169.7      10    9.99   0.010    4.8ms    993     3
 138.9      5.4      130.2      12    9.99   0.010    4.8ms    993     3
 139.4      5.4      130.7      13    9.98   0.010    4.8ms    993     3
 139.9      5.4      140.0      10   10.03   0.010    4.8ms    993     3
 140.4      5.4      131.0      13   10.00   0.010    4.8ms    993     3
 140.9      5.5      150.2      13    9.98   0.010    4.8ms    993     3
 141.4      5.5      162.9       6   10.01   0.010    4.8ms    993     3
