t_s,drop_rate_per_s,drops_exp,backlog_pkts,throughput_mbps,rtt_proxy_ms,active_flows,elephant_flows,mice_flows,elephant_ratio,regime,trajectory,predicted_regime,workload_profile,target_ms,interval_ms,limit_pkts,quantum_bytes,ebpf_pkts,ebpf_bytes
58.691,193.6105,8347,10,9.9959,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.74,50.0,354,300,0,0
59.200,161.1584,8429,11,10.0216,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.74,50.0,354,300,0,0
59.707,175.4600,8518,9,9.9811,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.74,50.0,354,300,0,0
60.218,150.8011,8595,14,10.0102,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.74,50.0,354,300,0,0
60.732,210.0891,8703,10,9.9899,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.74,50.0,354,300,0,0
61.240,184.8522,8797,11,10.0037,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.74,50.0,354,300,0,0
61.760,171.3810,8886,12,10.0057,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.57,50.0,318,300,0,0
62.270,188.2326,8982,10,9.9982,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.57,50.0,318,300,0,0
62.779,202.1055,9085,7,9.9817,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.57,50.0,318,300,0,0
63.294,198.1422,9187,13,10.0231,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.57,50.0,318,300,0,0
63.802,161.4873,9269,12,9.9943,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.57,50.0,318,300,0,0
64.310,167.2931,9354,12,9.9882,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.57,50.0,318,300,0,0
64.823,173.2979,9443,11,9.9997,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.57,50.0,318,300,0,0
65.337,183.1480,9537,13,10.0059,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.57,50.0,318,300,0,0
65.844,179.2177,9628,10,10.0185,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.57,50.0,318,300,0,0
66.355,195.6859,9728,12,9.9546,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.57,50.0,318,300,0,0
66.870,213.7019,9838,8,10.0240,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.41,50.0,286,300,0,0
67.378,163.4861,9921,13,10.0200,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.41,50.0,286,300,0,0
67.889,172.3069,10009,12,9.9843,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.41,50.0,286,300,0,0
68.400,195.6222,10109,11,9.9988,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.41,50.0,286,300,0,0
68.908,183.1404,10202,15,10.0177,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.41,50.0,286,300,0,0
69.420,183.4120,10296,7,9.9967,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.41,50.0,286,300,0,0
69.933,175.6446,10386,11,9.9515,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.41,50.0,286,300,0,0
70.441,175.1123,10475,19,10.0335,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.41,50.0,286,300,0,0
70.948,199.0007,10576,14,9.9992,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.41,50.0,286,300,0,0
71.460,164.2681,10660,9,9.9954,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.41,50.0,286,300,0,0
71.971,181.7396,10753,8,10.0120,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.27,50.0,257,300,0,0
72.479,183.2740,10846,12,10.0011,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.27,50.0,257,300,0,0
72.992,173.5069,10935,13,9.9645,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.27,50.0,257,300,0,0
73.503,187.8719,11031,7,10.0264,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.27,50.0,257,300,0,0
74.013,205.8265,11136,10,9.9956,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.27,50.0,257,300,0,0
74.527,165.4095,11221,17,10.0172,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.27,50.0,257,300,0,0
75.036,194.4510,11320,12,9.9917,0.000,0,0,0,0.000,HEAVY,STABLE,HEAVY,MICE,1.27,50.0,257,300,0,0
