[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns1/veth1...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=22
[eBPF] Layer 3: ✅ global_map id=23

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260402_131706.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
   43.9       HEAVY   RECOVERING    MODERATE   14766.4    320       0      0    0.00ms      MICE    2.2ms    438     8
   44.4       HEAVY   RECOVERING    MODERATE   13091.4    322       0      0    0.00ms      MICE    2.2ms    438     8
   45.0       HEAVY   RECOVERING    MODERATE   13617.0    347       0      0    0.00ms      MICE    2.2ms    438     8
   45.5       HEAVY   RECOVERING    MODERATE   14482.1    333       0      0    0.00ms      MICE    2.2ms    438     8
   46.0       HEAVY   RECOVERING    MODERATE   14886.1      0       0      0    0.00ms      MICE    1.9ms    394     9
   46.5       HEAVY   RECOVERING    MODERATE   13383.4    266       0      0    0.00ms      MICE    1.9ms    394     9
   47.0       HEAVY   RECOVERING    MODERATE   12161.4    352       0      0    0.00ms      MICE    1.9ms    394     9
   47.5       HEAVY   RECOVERING    MODERATE   12582.1    339       0      0    0.00ms      MICE    1.9ms    394     9
   48.0       HEAVY   RECOVERING    MODERATE   12082.4    304       0      0    0.00ms      MICE    1.9ms    394     9
   48.5       HEAVY   RECOVERING    MODERATE   11947.6    256       0      0    0.00ms      MICE    1.9ms    394     9
   49.0       HEAVY   RECOVERING    MODERATE   11565.8    327       0      0    0.00ms      MICE    1.9ms    394     9
   49.5       HEAVY   RECOVERING    MODERATE   12339.5    348       0      0    0.00ms      MICE    1.9ms    394     9
   50.1       HEAVY   RECOVERING    MODERATE   12443.4    329       0      0    0.00ms      MICE    1.9ms    394     9
   50.6       HEAVY   RECOVERING    MODERATE   12644.7    337       0      0    0.00ms      MICE    1.9ms    394     9
   51.1       HEAVY       STABLE       HEAVY   14565.1    271       0      0    0.00ms      MICE    1.7ms    354    10
   51.6       HEAVY   RECOVERING    MODERATE    9032.0    265       0      0    0.00ms      MICE    1.7ms    354    10
   52.1       HEAVY   RECOVERING    MODERATE    7397.3    267       0      0    0.00ms      MICE    1.7ms    354    10
   52.6       HEAVY   RECOVERING    MODERATE    4872.0    216       0      0    0.00ms      MICE    1.7ms    354    10
   53.1       HEAVY   RECOVERING    MODERATE    3029.1    335       0      0    0.00ms      MICE    1.7ms    354    10
   53.6       HEAVY   RECOVERING    MODERATE    5531.1    342       0      0    0.00ms      MICE    1.7ms    354    10
   54.1       HEAVY   RECOVERING    MODERATE    6094.7    257       0      0    0.00ms      MICE    1.7ms    354    10
   54.7       HEAVY   RECOVERING    MODERATE    4322.6    262       0      0    0.00ms      MICE    1.7ms    354    10
   55.2       HEAVY   RECOVERING    MODERATE    6978.4    278       0      0    0.00ms      MICE    1.7ms    354    10
   55.7       HEAVY   RECOVERING    MODERATE    7361.7    251       0      0    0.00ms      MICE    1.7ms    354    10
   56.2       HEAVY   RECOVERING    MODERATE    6768.6    305       0      0    0.00ms      MICE    1.6ms    318    11
   56.7       HEAVY       STABLE       HEAVY   14418.7    235       0      0    0.00ms      MICE    1.6ms    318    11
   57.2       HEAVY       STABLE       HEAVY    9840.7    306       0      0    0.00ms      MICE    1.6ms    318    11
   57.7       HEAVY       STABLE       HEAVY    6249.9    277       0      0    0.00ms      MICE    1.6ms    318    11
   58.2       HEAVY       STABLE       HEAVY    8465.8    266       0      0    0.00ms      MICE    1.6ms    318    11
   58.7       HEAVY       STABLE       HEAVY    7858.2    269       0      0    0.00ms      MICE    1.6ms    318    11
   59.3       HEAVY       STABLE       HEAVY    5616.1    288       0      0    0.00ms      MICE    1.6ms    318    11
   59.8       HEAVY   RECOVERING    MODERATE    9637.1    281       0      0    0.00ms      MICE    1.6ms    318    11
   60.3       HEAVY   RECOVERING    MODERATE    4005.7    264       0      0    0.00ms      MICE    1.6ms    318    11
   60.8       HEAVY   RECOVERING    MODERATE    8193.8    266       0      0    0.00ms      MICE    1.6ms    318    11
   61.3       HEAVY   RECOVERING    MODERATE    6376.1    261       0      0    0.00ms      MICE    1.4ms    286    12
   61.8       HEAVY       STABLE       HEAVY   24357.0    269       0      0    0.00ms      MICE    1.4ms    286    12
   62.3       HEAVY       STABLE       HEAVY   26339.6    277       0      0    0.00ms      MICE    1.4ms    286    12
   62.8       HEAVY       STABLE       HEAVY   36137.7    285       0      0    0.00ms      MICE    1.4ms    286    12
   63.4       HEAVY       STABLE       HEAVY   33352.0    280       0      0    0.00ms      MICE    1.4ms    286    12
   63.9       HEAVY       STABLE       HEAVY   37023.7    268       0      0    0.00ms      MICE    1.4ms    286    12
   64.4       HEAVY       STABLE       HEAVY   34293.8    255       0      0    0.00ms      MICE    1.4ms    286    12
   64.9       HEAVY       STABLE       HEAVY   32257.4    276       0      0    0.00ms      MICE    1.4ms    286    12
   65.4       HEAVY       STABLE       HEAVY   36852.2    276       0      0    0.00ms      MICE    1.4ms    286    12
   65.9       HEAVY       STABLE       HEAVY   39465.5    278       0      0    0.00ms      MICE    1.4ms    286    12
   66.4       HEAVY       STABLE       HEAVY   42287.0    280       0      0    0.00ms      MICE    1.3ms    257    13
   66.9       HEAVY       STABLE       HEAVY   54440.5    252       0      0    0.00ms      MICE    1.3ms    257    13
   67.5       HEAVY       STABLE       HEAVY   59918.0    227       0      0    0.00ms      MICE    1.3ms    257    13
   68.0       HEAVY       STABLE       HEAVY   51784.9    240       0      0    0.00ms      MICE    1.3ms    257    13
   68.5       HEAVY       STABLE       HEAVY   56626.1    210       0      0    0.00ms      MICE    1.3ms    257    13
   69.0       HEAVY       STABLE       HEAVY   43969.9    244       0      0    0.00ms      MICE    1.3ms    257    13
   69.5       HEAVY       STABLE       HEAVY   55610.5    245       0      0    0.00ms      MICE    1.3ms    257    13
   70.0       HEAVY       STABLE       HEAVY   49564.0    242       0      0    0.00ms      MICE    1.3ms    257    13
   70.5       HEAVY       STABLE       HEAVY   47085.9    236       0      0    0.00ms      MICE    1.3ms    257    13
   71.1       HEAVY   RECOVERING    MODERATE   45653.1    248       0      0    0.00ms      MICE    1.3ms    257    13
   71.6       HEAVY   RECOVERING    MODERATE   55809.5    231       0      0    0.00ms      MICE    1.1ms    256    14
   72.1       HEAVY   RECOVERING    MODERATE   53822.9    248       0      0    0.00ms      MICE    1.1ms    256    14
   72.6       HEAVY   RECOVERING    MODERATE   50406.5    248       0      0    0.00ms      MICE    1.1ms    256    14
   73.1       HEAVY   RECOVERING    MODERATE   50123.6    255       0      0    0.00ms      MICE    1.1ms    256    14
   73.6       HEAVY       STABLE       HEAVY   55807.2    228       0      0    0.00ms      MICE    1.1ms    256    14
   74.1       HEAVY       STABLE       HEAVY   56067.8    245       0      0    0.00ms      MICE    1.1ms    256    14
   74.7       HEAVY       STABLE       HEAVY   48872.1    240       0      0    0.00ms      MICE    1.1ms    256    14
   75.2       HEAVY       STABLE       HEAVY   56738.0    228       0      0    0.00ms      MICE    1.1ms    256    14
   75.7       HEAVY       STABLE       HEAVY   49353.4    239       0      0    0.00ms      MICE    1.1ms    256    14
   76.2       HEAVY   RECOVERING    MODERATE   49374.7    229       0      0    0.00ms      MICE    1.1ms    256    14
   76.7       HEAVY   RECOVERING    MODERATE   52312.1    236       0      0    0.00ms      MICE    1.0ms    256    15
   77.2       HEAVY   RECOVERING    MODERATE   48837.6    227       0      0    0.00ms      MICE    1.0ms    256    15
   77.7       HEAVY   RECOVERING    MODERATE   48815.0    251       0      0    0.00ms      MICE    1.0ms    256    15
   78.2       HEAVY   RECOVERING    MODERATE   47401.7    248       0      0    0.00ms      MICE    1.0ms    256    15
   78.8       HEAVY   RECOVERING    MODERATE   56228.3    244       0      0    0.00ms      MICE    1.0ms    256    15
   79.3       HEAVY   RECOVERING    MODERATE   44028.7    251       0      0    0.00ms      MICE    1.0ms    256    15
   79.8       HEAVY   RECOVERING    MODERATE   49104.3    248       0      0    0.00ms      MICE    1.0ms    256    15
   80.3       HEAVY       STABLE       HEAVY   54201.6    239       0      0    0.00ms      MICE    1.0ms    256    15
   80.8       HEAVY       STABLE       HEAVY   48997.2    234       0      0    0.00ms      MICE    1.0ms    256    15
   81.3       HEAVY   RECOVERING    MODERATE   43000.5    251       0      0    0.00ms      MICE    1.0ms    256    15
   81.8       HEAVY       STABLE       HEAVY   58354.7    226       0      0    0.00ms      MICE    1.0ms    256    15
   82.3       HEAVY       STABLE       HEAVY   53899.3    254       0      0    0.00ms      MICE    1.0ms    256    15
   82.9       HEAVY       STABLE       HEAVY   53798.5    247       0      0    0.00ms      MICE    1.0ms    256    15
   83.4       HEAVY       STABLE       HEAVY   45726.4    225       0      0    0.00ms      MICE    1.0ms    256    15
   83.9       HEAVY       STABLE       HEAVY   48750.6    229       0      0    0.00ms      MICE    1.0ms    256    15
   84.4       HEAVY   RECOVERING    MODERATE   44779.5    237       0      0    0.00ms      MICE    1.0ms    256    15
   84.9       HEAVY   RECOVERING    MODERATE   50422.0    233       0      0    0.00ms      MICE    1.0ms    256    15
   85.4       HEAVY       STABLE       HEAVY   55293.4    242       0      0    0.00ms      MICE    1.0ms    256    15
   85.9       HEAVY       STABLE       HEAVY   54633.2    254       0      0    0.00ms      MICE    1.0ms    256    15
   86.4       HEAVY   RECOVERING    MODERATE   48244.1    226       0      0    0.00ms      MICE    1.0ms    256    15
   87.0       HEAVY   RECOVERING    MODERATE   45258.1    232       0      0    0.00ms      MICE    1.0ms    256    15
   87.5       HEAVY   RECOVERING    MODERATE   48885.4    235       0      0    0.00ms      MICE    1.0ms    256    15
   88.0       HEAVY       STABLE       HEAVY   49527.2    241       0      0    0.00ms      MICE    1.0ms    256    15
   88.5       HEAVY   RECOVERING    MODERATE   45365.7    231       0      0    0.00ms      MICE    1.0ms    256    15
   89.0       HEAVY   RECOVERING    MODERATE   52424.1    232       0      0    0.00ms      MICE    1.0ms    256    15
   89.5       HEAVY   RECOVERING    MODERATE   54390.4    249       0      0    0.00ms      MICE    1.0ms    256    15
   90.0       HEAVY       STABLE       HEAVY   53097.0    247       0      0    0.00ms      MICE    1.0ms    256    15
   90.5       HEAVY       STABLE       HEAVY   50495.2    248       0      0    0.00ms      MICE    1.0ms    256    15
   91.1       HEAVY       STABLE       HEAVY   60046.3    245       0      0    0.00ms      MICE    1.0ms    256    15
