t,wall,drop_rate,backlog,throughput_mbps,state,target_ms,limit_pkts
215.16,06:33:06,0.0,0,0.000,NORMAL,4.50,480
215.66,06:33:06,0.0,0,0.000,NORMAL,5.00,512
216.24,06:33:07,0.0,0,0.000,NORMAL,5.00,512
216.75,06:33:07,0.0,0,0.000,NORMAL,5.00,512
217.25,06:33:08,0.0,0,0.000,NORMAL,5.00,512
217.76,06:33:08,0.0,0,0.000,NORMAL,5.00,512
218.27,06:33:09,0.0,0,0.000,NORMAL,5.00,512
218.77,06:33:09,0.0,0,0.000,NORMAL,5.00,544
219.29,06:33:10,0.0,0,0.000,NORMAL,5.00,544
219.80,06:33:10,0.0,0,0.000,NORMAL,5.00,544
220.31,06:33:11,0.0,0,0.000,NORMAL,5.00,544
220.81,06:33:11,0.0,0,0.000,NORMAL,5.00,544
221.32,06:33:12,0.0,0,0.000,NORMAL,5.00,544
221.83,06:33:12,0.0,0,0.000,NORMAL,5.00,576
222.34,06:33:13,0.0,0,0.000,NORMAL,5.00,576
222.85,06:33:13,0.0,0,0.000,NORMAL,5.00,576
223.36,06:33:14,0.0,0,0.000,NORMAL,5.00,576
223.86,06:33:14,0.0,0,0.000,NORMAL,5.00,576
224.37,06:33:15,0.0,0,0.000,NORMAL,5.00,576
224.87,06:33:15,0.0,0,0.000,NORMAL,5.00,608
225.38,06:33:16,0.0,0,0.000,NORMAL,5.00,608
225.89,06:33:16,0.0,0,0.000,NORMAL,5.00,608
226.39,06:33:17,0.0,0,0.000,NORMAL,5.00,608
226.90,06:33:17,0.0,0,0.000,NORMAL,5.00,608
227.40,06:33:18,0.0,0,0.000,NORMAL,5.00,608
227.91,06:33:18,0.0,0,0.000,NORMAL,5.00,640
228.47,06:33:19,0.0,0,0.000,NORMAL,5.00,640
228.98,06:33:19,0.0,0,0.000,NORMAL,5.00,640
229.51,06:33:20,0.0,0,0.000,NORMAL,5.00,640
230.01,06:33:20,0.0,0,0.000,NORMAL,5.00,640
230.52,06:33:21,0.0,0,0.000,NORMAL,5.00,640
231.02,06:33:21,0.0,0,0.000,NORMAL,5.00,672
231.53,06:33:22,0.0,0,0.000,NORMAL,5.00,672
232.03,06:33:22,0.0,0,0.000,NORMAL,5.00,672
232.54,06:33:23,0.0,0,0.000,NORMAL,5.00,672
233.05,06:33:23,0.0,0,0.000,NORMAL,5.00,672
233.56,06:33:24,0.0,0,0.000,NORMAL,5.00,672
234.06,06:33:24,0.0,0,0.000,NORMAL,5.00,704
234.58,06:33:25,0.0,0,0.000,NORMAL,5.00,704
235.08,06:33:25,0.0,0,0.000,NORMAL,5.00,704
235.59,06:33:26,0.0,0,0.000,NORMAL,5.00,704
236.10,06:33:26,0.0,0,0.000,NORMAL,5.00,704
236.60,06:33:27,0.0,0,0.000,NORMAL,5.00,704
237.11,06:33:27,0.0,0,0.000,NORMAL,5.00,736
237.63,06:33:28,0.0,0,0.000,NORMAL,5.00,736
238.14,06:33:29,0.0,0,0.000,NORMAL,5.00,736
238.65,06:33:29,0.0,0,0.000,NORMAL,5.00,736
239.15,06:33:30,0.0,0,0.000,NORMAL,5.00,736
239.66,06:33:30,0.0,0,0.000,NORMAL,5.00,736
240.16,06:33:31,0.0,0,0.000,NORMAL,5.00,768
240.67,06:33:31,0.0,0,0.000,NORMAL,5.00,768
241.18,06:33:32,0.0,0,0.000,NORMAL,5.00,768
241.68,06:33:32,0.0,0,0.000,NORMAL,5.00,768
242.19,06:33:33,0.0,0,0.000,NORMAL,5.00,768
242.69,06:33:33,0.0,0,0.000,NORMAL,5.00,768
243.20,06:33:34,0.0,0,0.000,NORMAL,5.00,800
243.72,06:33:34,0.0,0,0.000,NORMAL,5.00,800
244.23,06:33:35,0.0,0,0.000,NORMAL,5.00,800
244.74,06:33:35,0.0,0,0.000,NORMAL,5.00,800
245.24,06:33:36,0.0,0,0.000,NORMAL,5.00,800
245.75,06:33:36,0.0,0,0.000,NORMAL,5.00,800
246.25,06:33:37,0.0,0,0.000,NORMAL,5.00,832
246.77,06:33:37,0.0,0,0.000,NORMAL,5.00,832
247.28,06:33:38,0.0,0,0.000,NORMAL,5.00,832
247.78,06:33:38,0.0,0,0.000,NORMAL,5.00,832
248.29,06:33:39,0.0,0,0.000,NORMAL,5.00,832
248.80,06:33:39,0.0,0,0.000,NORMAL,5.00,832
249.31,06:33:40,0.0,0,0.000,NORMAL,5.00,864
249.83,06:33:40,0.0,0,0.000,NORMAL,5.00,864
250.33,06:33:41,0.0,0,0.000,NORMAL,5.00,864
250.84,06:33:41,0.0,0,0.000,NORMAL,5.00,864
251.35,06:33:42,0.0,0,0.000,NORMAL,5.00,864
252.14,06:33:42,0.0,0,0.000,NORMAL,5.00,864
252.65,06:33:43,0.0,0,0.000,NORMAL,5.00,896
253.17,06:33:44,0.0,0,0.000,NORMAL,5.00,896
253.68,06:33:44,0.0,0,0.000,NORMAL,5.00,896
254.18,06:33:45,0.0,0,0.000,NORMAL,5.00,896
254.69,06:33:45,0.0,0,0.000,NORMAL,5.00,896
