t_s,backlog_pkts,target_ms,drop_rate,throughput_mbps,sojourn_ms
457.4,14,5.0,95.7,9.994,15.69
458.4,15,5.0,102.7,9.99,16.82
459.4,14,5.0,98.7,10.009,15.67
460.4,15,5.0,95.7,9.998,16.8
461.5,15,5.0,96.7,10.008,16.79
462.5,20,5.0,97.7,10.0,22.4
463.5,20,5.0,101.7,9.995,22.41
464.5,12,5.0,94.7,9.997,13.44
465.5,16,5.0,88.7,9.995,17.93
466.5,14,5.0,94.7,10.004,15.67
467.5,13,5.0,104.6,9.983,14.58
468.5,11,5.0,91.7,10.012,12.31
469.5,14,5.0,99.7,9.988,15.7
470.5,11,5.0,102.7,10.011,12.31
471.5,13,5.0,97.7,9.998,14.56
472.5,0,5.0,91.7,10.0,0.0
473.5,15,5.0,93.7,10.01,16.78
474.5,11,5.0,100.7,9.997,12.32
475.5,17,5.0,97.7,9.997,19.05
476.5,16,5.0,105.6,10.006,17.91
477.5,14,5.0,99.7,9.999,15.68
478.5,13,5.0,95.7,9.999,14.56
479.5,14,5.0,99.7,9.999,15.68
480.5,15,5.0,107.7,9.999,16.8
481.5,16,5.0,92.7,9.996,17.93
482.5,14,5.0,88.7,10.002,15.68
483.5,0,5.0,94.8,10.002,0.0
484.5,16,5.0,86.7,9.998,17.92
485.5,14,5.0,95.7,10.005,15.67
486.5,10,5.0,88.7,9.999,11.2
487.5,12,5.0,99.7,9.999,13.44
488.5,18,5.0,103.6,10.002,20.16
489.5,18,5.0,99.7,9.997,20.17
490.5,15,5.0,104.7,9.999,16.8
491.5,12,5.0,102.7,10.0,13.44
492.5,14,5.0,103.7,10.0,15.68
493.6,13,5.0,100.7,9.994,14.57
494.6,14,5.0,102.7,10.009,15.67
495.6,0,5.0,94.7,10.0,0.0
496.6,18,5.0,102.7,9.999,20.16
497.6,17,5.0,87.7,9.997,19.05
498.6,17,5.0,93.6,10.003,19.03
499.6,15,5.0,98.7,9.994,16.81
500.6,15,5.0,85.7,9.986,16.82
501.6,15,5.0,101.7,10.012,16.78
502.6,14,5.0,104.7,10.008,15.67
503.6,15,5.0,99.6,9.991,16.82
504.6,0,5.0,105.6,10.006,0.0
505.6,14,5.0,93.7,9.998,15.68
506.6,16,5.0,86.7,10.005,17.91
507.6,16,5.0,105.6,9.994,17.93
508.6,13,5.0,90.7,10.007,14.55
